name,lat,lng,rating,opening_hours,direccion,ciudad,rubro
Te Encantará Restaurant,-32.930323,-71.540863,4.4,{'open_now': False},"Pasaje 131, Higuerilla Alto, Siempre Viva, Concón",Concon,restaurant
El Salmon Restaurant,-32.930838,-71.539949,4.4,{'open_now': False},"A Morales 225a, Concón",Concon,restaurant
Nikko Seafood and Sushi,-32.924672,-71.525657,4.4,{'open_now': True},"Av. Borgoño 22902, Concón",Concon,restaurant
Restaurant Punta Del Este,-32.923324,-71.524107,4.4,{'open_now': False},"Av. Borgoño 23120, Concón",Concon,restaurant
Alto Mar by La Gatita,-32.930692,-71.539562,4.3,{'open_now': True},"198, A Morales 100, Concón",Concon,restaurant
Restaurant Los Delfines,-32.931087,-71.539795,4.2,{'open_now': False},"San Pedro 325, Concón",Concon,restaurant
"NOVELLINO Restaurante, desayunos y hora del té",-32.930635,-71.538317,4.2,{'open_now': True},"Av. Borgoño 21450, Concón, 2510070",Concon,restaurant
Donde Odette La Gatita,-32.932845,-71.540737,4.2,{'open_now': True},"Las Pimpinelas 1285, Concón",Concon,restaurant
Aquí Jaime,-32.929725,-71.539232,4.2,{'open_now': True},"Av. Borgoño 21303, Concón",Concon,restaurant
Restaurant Vista al Mar,-32.929846,-71.539824,4.2,{'open_now': False},"Av. Borgoño 21270, Concón, 2510070",Concon,restaurant
La Picá de Martín,-32.932228,-71.541653,4.2,{'open_now': True},"Las Pimpinelas 1205, Concón",Concon,restaurant
Restaurant La Perla del Pacífico,-32.920049,-71.509894,4.1,{'open_now': True},"Av. Borgoño 25190, Concón",Concon,restaurant
RESTAURANT SANTABRASA DEL MAR,-32.920025,-71.51825,4.1,{'open_now': True},"Sta. Elena 671, Concón",Concon,restaurant
Restaurante Secreto,-32.920706,-71.51275,4.0,{'open_now': True},"Maroto 1011, Concón",Concon,restaurant
Los cangrejos - La Boca,-32.920303,-71.512249,3.9,{'open_now': True},"Av. Borgoño 23201-23399, Concón",Concon,restaurant
Albatros Restaurante,-32.929444,-71.540278,3.9,{'open_now': True},"Av. Borgoño 21295, Concón",Concon,restaurant
"Las Pimpinelas 1120, Costa de Montemar, Concón",-32.931193,-71.543516,4.9,,"Las Pimpinelas 1120, Costa de Montemar Concón, Valparaíso",Concon,hotel
Hotel boutique Laura del Mar,-32.919706,-71.516764,4.9,{'open_now': True},"Sta. Laura 481, Concón",Concon,hotel
Hostal Concón,-32.919675,-71.520603,4.8,,"Labarca 424, Concón, 2510000",Concon,hotel
Bahía Luz Hostal,-32.918602,-71.520702,4.7,,"Pedro de Valdivia 171, Concón, 2510490",Concon,hotel
Riomar Apart Hotel,-32.921199,-71.508901,4.7,{'open_now': True},"Maroto 1409, Concón",Concon,hotel
Hotel Azul Pacifico,-32.931323,-71.535245,4.6,,"las Elenas 71 concon Concón, Valparaíso",Concon,hotel
Dei Templi Apart Hotel,-32.961852,-71.544845,4.6,{'open_now': True},"Av Edmundo Eluchans 1475, Viña del Mar",Concon,hotel
Cabañas Aires del Bosque,-32.925552,-71.521354,4.6,{'open_now': False},"Avenida Vergara 413 entre las calle 3 y 4 Concón, Valparaíso",Concon,hotel
Yemanyá Hostal,-32.921901,-71.514043,4.6,{'open_now': True},"C. 9 439, Concón, 2510000",Concon,hotel
Apart Hotel Blumenplatz,-32.929717,-71.548576,4.5,{'open_now': True},"Las Pimpinelas 310, Concón, Viña del Mar",Concon,hotel
Hotel Boutique Casadoca,-32.929931,-71.531574,4.5,,"Av. Borgoño 22090, Concón",Concon,hotel
Radisson Blu Acqua Hotel & Spa Concon,-32.918932,-71.523533,4.4,,"Av. Borgoño 23333, Concón, 2510000",Concon,hotel
Casa Motiva,-32.918414,-71.520308,4.4,,"Av. Borgoño 24030, Concón, 2510000",Concon,hotel
Hotel Bosque de Reñaca,-32.966052,-71.529418,4.4,{'open_now': True},"Dublé Almeyda 80, Viña del Mar",Concon,hotel
Aparthotel Bahia Bonita,-32.930451,-71.532093,4.4,{'open_now': True},"Avenida, Av. Borgoño 22040, Concón",Concon,hotel
Apart Hotel Duna del Mar,-32.922577,-71.518535,4.3,{'open_now': True},"Sta. Margarita 660, Concón, 2510670",Concon,hotel
HOSTAL CLUB HOUSE,-32.921106,-71.516306,4.3,{'open_now': False},"Pedro de Valdivia 514, Concón",Concon,hotel
Linda Vista Apart Hotel,-32.934719,-71.536734,4.1,,"Sta María 112 & El Prado, Concón",Concon,hotel
Hostal Palos,-32.920074,-71.520669,4.0,,Concón,Concon,hotel
Neruda Mar Suites,-32.95782,-71.549365,3.7,{'open_now': True},"Av. Borgoño 16180, Renaca, Concón",Concon,hotel
Nomade Skate Shop,-33.006932,-71.495315,5.0,,"Sta Julia, Viña del Mar","Vina del Mar, Chile",museo
Barquito de papel,-33.052672,-71.524005,5.0,{'open_now': True},"Ruta 60, Viña del Mar","Vina del Mar, Chile",museo
La Oficina,-33.00752,-71.535328,4.7,,Viña del Mar,"Vina del Mar, Chile",museo
Palacio Ariztía,-33.025907,-71.55664,4.7,,"Álvarez 440, Viña del Mar","Vina del Mar, Chile",museo
Decorative Arts Museum Rioja Palace,-33.020642,-71.546528,4.7,{'open_now': False},"Quillota 214, Viña del Mar","Vina del Mar, Chile",museo
Monumento a Alberto Larraguibel y caballo Huaso,-33.006623,-71.551005,4.6,{'open_now': True},"Borde Costero, Viña del Mar","Vina del Mar, Chile",museo
Museo de Arqueología e Historia Francisco Fonck,-33.019815,-71.549915,4.5,{'open_now': False},"4 Nte. 784, Viña del Mar","Vina del Mar, Chile",museo
Artequin Museum Vina del Mar,-33.029274,-71.550202,4.5,{'open_now': False},"Alcalde Prieto Nieto Parque, Potrerillos 500, Viña del Mar","Vina del Mar, Chile",museo
Museo de Teclados,-33.029083,-71.575091,4.4,{'open_now': True},"Hortensias 20, Viña del Mar","Vina del Mar, Chile",museo
Museo Palacio Vergara,-33.028058,-71.553806,4.3,{'open_now': False},"Errázuriz 563-596 Parque Quinta Vergara, Valparaíso","Vina del Mar, Chile",museo
Lookout Giordano Bruno,-33.000533,-71.520029,4.3,,"Cono Sur 16, Viña del Mar","Vina del Mar, Chile",museo
Historical and Archaeological Museum of Concon,-32.920271,-71.516765,4.3,{'open_now': False},"Sta. Laura 470, Concón","Vina del Mar, Chile",museo
Plaza Dr Luis Sigall,-33.027449,-71.552156,4.2,,"Montaña 712, Viña del Mar","Vina del Mar, Chile",museo
Mirador Los Andes,-33.043923,-71.552411,3.3,,"Alejandro Navarrete 324, Viña del Mar","Vina del Mar, Chile",museo
La Roca del león,-32.990802,-71.548749,3.0,,Viña del Mar,"Vina del Mar, Chile",museo
Viña Corporacion,-33.021675,-71.546088,0.0,,"2 - 1/2 Nte. 1010-1072, Viña del Mar","Vina del Mar, Chile",museo
Teodoro González,-32.993777,-71.492842,0.0,,"C. Tres 210, Viña del Mar","Vina del Mar, Chile",museo
